unix_s,iso,current_a,current_note,t1_freezer_f,t2_fridge_f,res1_ohm,res2_ohm,fault,relay_cmd,current_stale,compressor_on
1785718800.050,2026-08-02T21:00:00.050,0.928,,-5.683,37.656,917.92,1012.27,0,1,0,1
1785718801.050,2026-08-02T21:00:01.050,0.929,,-5.803,37.595,917.66,1012.14,0,1,0,1
1785718802.050,2026-08-02T21:00:02.050,0.929,,-6.103,37.595,917.00,1012.14,0,1,0,1
1785718803.050,2026-08-02T21:00:03.050,0.926,,-6.163,37.535,916.87,1012.01,0,1,0,1
1785718804.050,2026-08-02T21:00:04.050,0.924,,-6.043,37.474,917.14,1011.88,0,1,0,1
1785718805.050,2026-08-02T21:00:05.050,0.925,,-6.043,37.595,917.14,1012.14,0,1,0,1
1785718806.050,2026-08-02T21:00:06.050,0.933,,-5.562,37.595,918.19,1012.14,0,1,0,1
1785718807.050,2026-08-02T21:00:07.050,0.937,,-5.562,37.595,918.19,1012.14,0,1,0,1
1785718808.050,2026-08-02T21:00:08.050,0.924,,-5.743,37.535,917.79,1012.01,0,1,0,1
1785718809.050,2026-08-02T21:00:09.050,0.929,,-6.043,37.656,917.14,1012.27,0,1,0,1
1785718810.050,2026-08-02T21:00:10.050,0.941,,-5.743,37.474,917.79,1011.88,0,1,0,1
1785718811.050,2026-08-02T21:00:11.050,0.930,,-6.343,37.777,916.48,1012.54,0,1,0,1
1785718812.050,2026-08-02T21:00:12.050,0.933,,-6.343,37.777,916.48,1012.54,0,1,0,1
1785718813.050,2026-08-02T21:00:13.050,0.926,,-6.103,37.716,917.00,1012.41,0,1,0,1
1785718814.050,2026-08-02T21:00:14.050,0.921,,-5.863,37.656,917.53,1012.27,0,1,0,1
1785718815.050,2026-08-02T21:00:15.050,0.928,,-5.743,37.656,917.79,1012.27,0,1,0,1
1785718816.050,2026-08-02T21:00:16.050,0.920,,-6.283,37.474,916.61,1011.88,0,1,0,1
1785718817.050,2026-08-02T21:00:17.050,0.919,,-5.743,37.595,917.79,1012.14,0,1,0,1
1785718818.050,2026-08-02T21:00:18.050,0.929,,-5.562,37.777,918.19,1012.54,0,1,0,1
1785718819.050,2026-08-02T21:00:19.050,0.921,,-6.283,37.716,916.61,1012.41,0,1,0,1
1785718820.050,2026-08-02T21:00:20.050,0.926,,-6.043,37.595,917.14,1012.14,0,1,0,1
1785718821.050,2026-08-02T21:00:21.050,0.932,,-5.562,37.716,918.19,1012.41,0,1,0,1
1785718822.050,2026-08-02T21:00:22.050,0.927,,-6.463,37.777,916.22,1012.54,1,1,0,1
1785718823.050,2026-08-02T21:00:23.050,0.930,,-5.803,37.716,917.66,1012.41,0,1,0,1
1785718824.050,2026-08-02T21:00:24.050,0.928,,-5.803,37.716,917.66,1012.41,0,1,0,1
1785718825.050,2026-08-02T21:00:25.050,0.945,,-5.502,37.474,918.32,1011.88,0,1,0,1
1785718826.050,2026-08-02T21:00:26.050,0.935,,-6.463,37.535,916.22,1012.01,0,1,0,1
1785718827.050,2026-08-02T21:00:27.050,0.931,,-6.103,37.716,917.00,1012.41,0,1,0,1
1785718828.050,2026-08-02T21:00:28.050,0.937,,-5.683,37.716,917.92,1012.41,0,1,0,1
1785718829.050,2026-08-02T21:00:29.050,0.929,,-6.283,37.656,916.61,1012.27,1,1,0,1
1785718830.050,2026-08-02T21:00:30.049,0.927,,-6.283,37.474,916.61,1011.88,0,1,0,1
1785718831.050,2026-08-02T21:00:31.050,0.927,,-5.683,37.535,917.92,1012.01,0,1,0,1
1785718832.050,2026-08-02T21:00:32.050,0.930,,-5.502,37.656,918.32,1012.27,0,1,0,1
1785718833.050,2026-08-02T21:00:33.050,0.923,,-5.983,37.656,917.27,1012.27,0,1,0,1
1785718834.050,2026-08-02T21:00:34.050,0.919,,-5.622,37.474,918.05,1011.88,0,1,0,1
